,lbp,activation function,color space,hidden nodes,accuracy,balanced accuracy,training time,testing time
111,False,Logistic,rgb,9000,0.6205179282868526,0.6302395364802575,18.4259747,0.2945505
113,False,Logistic,rgb,10000,0.2539840637450199,0.2499456356950057,23.0007214,0.3360754
114,False,Swish,cielab,1000,0.9750996015936256,0.9754524954821028,0.4170019,0.0459997
116,False,Swish,cielab,2000,0.8476095617529881,0.846204173805126,1.0650043,0.0750287
118,False,Swish,cielab,3000,0.9462151394422312,0.9483756269068924,2.0918002,0.1122316
120,False,Swish,cielab,4000,0.9661354581673308,0.9680133675319996,3.5264998000000003,0.1448838
122,False,Swish,cielab,5000,0.9711155378486056,0.972731439185555,5.176043900000001,0.1873751
124,False,Swish,cielab,6000,0.9820717131474104,0.9826689833794456,7.349052500000001,0.2048175
126,False,Swish,cielab,7000,0.951195219123506,0.9518415969279446,10.4042551,0.2508009
128,False,Swish,cielab,8000,0.9721115537848606,0.972400876905402,13.1529631,0.2872116
130,False,Swish,cielab,9000,0.9760956175298804,0.9770119457130624,18.2439967,0.3174372
132,False,Swish,cielab,10000,0.9701195219123506,0.9714605374634327,23.285368100000003,0.3578037
133,False,Swish,hsv,1000,0.9900398406374502,0.9900162947288674,0.3849997,0.0350005
135,False,Swish,hsv,2000,0.9850597609561752,0.984961900792442,1.0380013,0.0790302
137,False,Swish,hsv,3000,0.9820717131474104,0.9821710829277625,2.119205,0.1079997
139,False,Swish,hsv,4000,0.9820717131474104,0.9821710829277625,3.4606808,0.1576523
141,False,Swish,hsv,5000,0.9810756972111554,0.9812494239415872,5.0288357,0.1880048
143,False,Swish,hsv,6000,0.9820717131474104,0.9821840033808396,7.3328113,0.2124843
145,False,Swish,hsv,7000,0.9820717131474104,0.9821840033808396,10.2981758,0.2532668
147,False,Swish,hsv,8000,0.9820717131474104,0.9821840033808396,13.9607782,0.2799003
149,False,Swish,hsv,9000,0.9820717131474104,0.9821840033808396,17.396841900000002,0.3129789
151,False,Swish,hsv,10000,0.9820717131474104,0.9821840033808396,23.7461266,0.3505683
152,False,Swish,rgb,1000,0.9432270916334662,0.945463634478771,0.3710008,0.0389983
154,False,Swish,rgb,2000,0.9402390438247012,0.9426943905804948,1.0839932,0.0860072
156,False,Swish,rgb,3000,0.9352589641434262,0.9379933866859425,2.093073,0.107912
158,False,Swish,rgb,4000,0.9332669322709164,0.9361587222269186,3.4615948000000003,0.1479687
160,False,Swish,rgb,5000,0.9312749003984064,0.9343154042545684,5.098677,0.1800406
162,False,Swish,rgb,6000,0.9292828685258964,0.9324720862822182,7.5581475,0.2170228
164,False,Swish,rgb,7000,0.9292828685258964,0.9324720862822182,9.9630909,0.2539089
166,False,Swish,rgb,8000,0.9292828685258964,0.9324720862822182,13.4326951,0.3043528
168,False,Swish,rgb,9000,0.9292828685258964,0.9324720862822182,17.5069166,0.329898
