,lbp,activation function,color space,hidden nodes,accuracy,balanced accuracy,training time,testing time
109,False,Logistic,rgb,8000,0.128003696857671,0.1343747589790809,13.5706943,0.539437
111,False,Logistic,rgb,9000,0.3706099815157117,0.4171660754582227,17.9589351,0.6084835000000001
113,False,Logistic,rgb,10000,0.4875231053604436,0.5170085641702593,21.815862000000003,0.655736
114,False,Swish,cielab,1000,0.577634011090573,0.6115460970901297,0.4169191,0.0690833
116,False,Swish,cielab,2000,0.5831792975970426,0.6276311051085784,1.085904,0.1372746
118,False,Swish,cielab,3000,0.7079482439926063,0.7477586785166789,2.1633325,0.2166096
120,False,Swish,cielab,4000,0.7971349353049908,0.8444709974698899,3.5885634000000004,0.2936896
122,False,Swish,cielab,5000,0.8724584103512015,0.9046861749672972,5.2273168000000005,0.3544727
124,False,Swish,cielab,6000,0.7939001848428835,0.8361264737110471,7.384746300000001,0.4336144
126,False,Swish,cielab,7000,0.8290203327171903,0.875415065803009,10.0742099,0.5042972
128,False,Swish,cielab,8000,0.8123844731977818,0.8541113994189674,13.208972200000002,0.5651047
130,False,Swish,cielab,9000,0.2555452865064695,0.2185497260405668,16.933791600000003,0.6364995
132,False,Swish,cielab,10000,0.8803142329020333,0.91629899371804,21.354377600000003,0.7278913
133,False,Swish,hsv,1000,0.9168207024029574,0.948588346475782,0.3947241,0.0690377
135,False,Swish,hsv,2000,0.9066543438077634,0.940929234793196,1.0857155,0.153691
137,False,Swish,hsv,3000,0.8987985212569316,0.9353802050408048,2.0984097,0.2166216
139,False,Swish,hsv,4000,0.8904805914972274,0.9308008863638694,3.6521895,0.2931669
141,False,Swish,hsv,5000,0.8853974121996303,0.9269421226061012,5.162507000000001,0.3624279
143,False,Swish,hsv,6000,0.8826247689463955,0.9250815620001678,7.2546675,0.4333724
145,False,Swish,hsv,7000,0.8766173752310537,0.9205992332960132,9.9497343,0.5087325
147,False,Swish,hsv,8000,0.8724584103512015,0.9173930946772524,13.208150000000002,0.5665188
149,False,Swish,hsv,9000,0.8715341959334566,0.9166538521347312,16.8005824,0.650468
151,False,Swish,hsv,10000,0.8687615526802218,0.915184384484691,20.9808808,0.7204122000000001
152,False,Swish,rgb,1000,0.7818853974121996,0.8390617040442162,0.4008524,0.0690297
154,False,Swish,rgb,2000,0.7712569316081331,0.8291614451383852,1.0874914,0.1316228
156,False,Swish,rgb,3000,0.7652495378927912,0.8240214231675317,2.1436456,0.2200303
158,False,Swish,rgb,4000,0.7615526802218114,0.8204924157757013,3.5444078,0.2937029
160,False,Swish,rgb,5000,0.7587800369685767,0.8183307962381505,5.1283344,0.3545919
162,False,Swish,rgb,6000,0.7583179297597042,0.8186223686165333,7.2441164,0.4458065
164,False,Swish,rgb,7000,0.7564695009242144,0.8173838606026157,9.9004917,0.5043073
166,False,Swish,rgb,8000,0.755083179297597,0.8172778245578115,13.1158308,0.5675274
168,False,Swish,rgb,9000,0.7532347504621072,0.8160415098306819,16.839247500000003,0.6272733
170,False,Swish,rgb,10000,0.7523105360443623,0.8154444949053088,21.041975500000003,0.7071593
171,True,Leaky ReLU,cielab,1000,0.9801293900184844,0.9854296246575632,0.3207741,0.0469215
173,True,Leaky ReLU,cielab,2000,0.982902033271719,0.9878243935755248,0.9645608,0.0691153
175,True,Leaky ReLU,cielab,3000,0.9819778188539742,0.9875373355088686,1.9506133,0.1116072
177,True,Leaky ReLU,cielab,4000,0.5032347504621072,0.5049767426764488,3.3880929,0.1338177
179,True,Leaky ReLU,cielab,5000,0.8451940850277264,0.8695792810911961,5.0828971,0.176368
181,True,Leaky ReLU,cielab,6000,0.6446395563770795,0.6565313225035333,7.0205732,0.2106081
183,True,Leaky ReLU,cielab,7000,0.8923290203327172,0.9141821854956174,9.676574,0.2514283
185,True,Leaky ReLU,cielab,8000,0.7920517560073937,0.8158703286825849,12.7886707,0.2711859
187,True,Leaky ReLU,cielab,9000,0.6469500924214417,0.6722529608116233,16.324402000000003,0.3040738
189,True,Leaky ReLU,cielab,10000,0.3428835489833641,0.3839595899214509,20.5957581,0.3444719
190,True,Leaky ReLU,hsv,1000,0.987985212569316,0.9926794867853987,0.3165888,0.0468956
192,True,Leaky ReLU,hsv,2000,0.9852125693160814,0.990391429684204,0.9695697,0.0846788
194,True,Leaky ReLU,hsv,3000,0.9796672828096118,0.9867251650477902,1.9605024,0.108787
196,True,Leaky ReLU,hsv,4000,0.9842883548983364,0.9898783409991784,3.2410520000000003,0.1395141
198,True,Leaky ReLU,hsv,5000,0.9875231053604436,0.9911790966101228,4.9415844,0.1620351
200,True,Leaky ReLU,hsv,6000,0.9902957486136784,0.9939018465636688,6.9401083,0.210282
202,True,Leaky ReLU,hsv,7000,0.9921441774491682,0.9954262997693388,9.4932669,0.2311109
204,True,Leaky ReLU,hsv,8000,0.9926062846580408,0.9959313502743892,12.6528248,0.2716359
206,True,Leaky ReLU,hsv,9000,0.9916820702402958,0.9950039119940924,16.5566769,0.30413
208,True,Leaky ReLU,hsv,10000,0.9930683918669132,0.996101226886644,20.606456,0.3421753
209,True,Leaky ReLU,rgb,1000,0.9574861367837338,0.9698682427290042,0.3441793,0.0625046
211,True,Leaky ReLU,rgb,2000,0.9639556377079482,0.9736799147352642,0.9694114,0.0781135
213,True,Leaky ReLU,rgb,3000,0.9621072088724584,0.9701474426095372,1.9733263,0.1003198
215,True,Leaky ReLU,rgb,4000,0.9653419593345656,0.9734925073025325,3.2369152000000003,0.1397894
217,True,Leaky ReLU,rgb,5000,0.97181146025878,0.9788123900839102,4.9504903,0.173498
219,True,Leaky ReLU,rgb,6000,0.9755083179297596,0.983387305314929,6.9838792000000005,0.2025786
221,True,Leaky ReLU,rgb,7000,0.9764325323475046,0.9834293928996372,9.5220582,0.2332141
223,True,Leaky ReLU,rgb,8000,0.977818853974122,0.9844807770915592,12.607065,0.2817823
225,True,Leaky ReLU,rgb,9000,0.9782809611829943,0.9846105022973064,16.4042791,0.3019218
227,True,Leaky ReLU,rgb,10000,0.9787430683918668,0.9850777920169324,20.609977200000003,0.3526967
228,True,Logistic,cielab,1000,0.5707024029574861,0.6116918004373946,0.427258,0.0880035
230,True,Logistic,cielab,2000,0.2185767097966728,0.254411084627225,1.1929711,0.1440023
232,True,Logistic,cielab,3000,0.6173752310536045,0.6795691109547993,2.2790038000000004,0.2180237
234,True,Logistic,cielab,4000,0.3179297597042514,0.3638109056251892,3.7731997,0.2880444
236,True,Logistic,cielab,5000,0.5013863216266173,0.5521154935331876,5.461897700000001,0.3530597
238,True,Logistic,cielab,6000,0.6252310536044362,0.6457253173299202,7.7495232,0.4303551
240,True,Logistic,cielab,7000,0.6756007393715342,0.7420852456398548,10.4250601,0.5050163000000001
242,True,Logistic,cielab,8000,0.5730129390018485,0.612710438194161,13.7526606,0.5753594000000001
244,True,Logistic,cielab,9000,0.4856746765249538,0.5430625532100519,17.7682541,0.6698926000000001
246,True,Logistic,cielab,10000,0.7074861367837338,0.754044509833249,21.9815584,0.7087627000000001
247,True,Logistic,hsv,1000,0.6053604436229205,0.6398081949370356,0.4439971,0.0839702
249,True,Logistic,hsv,2000,0.4168207024029575,0.4502016182624976,1.167999,0.1479988
251,True,Logistic,hsv,3000,0.4875231053604436,0.5207559861854795,2.2423884000000003,0.215855
253,True,Logistic,hsv,4000,0.277264325323475,0.3169981811178236,3.8063916,0.2839981
255,True,Logistic,hsv,5000,0.2458410351201478,0.2599897738784468,5.6233654,0.3622841
257,True,Logistic,hsv,6000,0.5073937153419593,0.5440534682423541,7.6928413,0.4469553
259,True,Logistic,hsv,7000,0.4158964879852125,0.4524696556747676,10.3534163,0.5004867000000001
261,True,Logistic,hsv,8000,0.5355822550831792,0.5800755832563483,13.8352459,0.5737168
263,True,Logistic,hsv,9000,0.2037892791127541,0.2143892769239538,17.685312,0.6440089
265,True,Logistic,hsv,10000,0.1192236598890942,0.0841629142908058,22.1579268,0.7086896
266,True,Logistic,rgb,1000,0.4098890942698706,0.4250873995919769,0.4560036,0.0839996
268,True,Logistic,rgb,2000,0.1261552680221811,0.1300166433731796,1.1902984,0.1519973
270,True,Logistic,rgb,3000,0.3863216266173752,0.4006174652457958,2.2847791,0.2279998
272,True,Logistic,rgb,4000,0.3368761552680221,0.3586396685195784,3.7493892,0.288026
